ICAO Manufacturer   Type            winglets       WV             MTOMkg         MLMkg          MZFMkg         OEMkg          MPMkg          MZFM-MTOM      OEM_MTOM       MPM_MTOM       Sref_m2        span_m         bf_m           delta2         COSsweep       AR             psi0           XhiDO          wing_constant  j2             j1             CLo            etaL_Do        OPR            BPR            FPR            F00ISAkn       mfmaxTO_kg_s   mfFISLSkg_s    MDO            CTdes          eta1           eta2           Mec            Tec            TETmaxclimb    TETmaxt_o      etaPC          MMO            FLMO           Vcasasl        pimaxPa        pinfcoPa       FFLyear        noengines     
B744   Boeing         B747-400                0           5   396894.0       285764.0       246075.0       178756.0       67319.00      0.6200018      0.4503873      0.1696146       547.0000       64.44000       6.500000      0.2034912E-01  0.7933533       7.591433       6.688264       1.029070      0.6983408      0.8689296      0.7417038E-01  0.4649927       6.027234       30.57902       4.953922       1.650000       1021.254       9.786510      0.8229098      0.8100000      0.2451191E-01  0.3558115      0.5372983      0.6837986       5.296211       1508.038       5.688605      0.8536504      0.9200000       450.0000      0.5814000       26070.47       35788.47       1985.000       4.000000    
B748   Boeing         B747-8F                 0           1   442253.0       345184.0       328854.0       197131.0       131723.0      0.7435880      0.4457426      0.2978454       594.0000       68.40000       6.500000      0.1806111E-01  0.7933533       7.876364       6.248755      0.9978946      0.7324883      0.8723206      0.7674717E-01  0.4575513       7.386886       42.97500       8.015000       1.650000       1199.220       9.808000      0.8700000      0.8299000      0.2244025E-01  0.3952916      0.4676588      0.7488456       5.888619       1692.693       6.385159      0.9108310      0.9000000       421.0006      0.5700000       24977.43       36140.62       2010.000       4.000000    
B752   Boeing         B757-200                0           4   113400.0       89800.00       83450.00       62100.00       21350.00      0.7358906      0.5476190      0.1882716       189.0000       38.06000       3.760000      0.1951947E-01  0.9063078       7.664358       7.102482      0.9856781      0.7702877      0.8735763      0.7810788E-01  0.4965483       5.358463       26.90900       4.743000       1.650000       357.9620       3.640400      0.3454000      0.7720000      0.2796097E-01  0.3471789      0.5420967      0.6782123       5.377384       1474.041       5.560363      0.8441770      0.8600000       420.0000      0.5472000       22875.41       36864.53       1982.000       2.000000    
B753   Boeing         B757-300                0           2   122470.0       101610.0       95270.00       64580.00       30690.00      0.7779048      0.5273128      0.2505920       189.0000       38.06000       3.760000      0.1951947E-01  0.9063078       7.664358       7.593717       1.005262      0.7595727      0.8730180      0.7774635E-01  0.5221232       5.260669       26.90900       4.743000       1.650000       357.9620       3.640400      0.3454000      0.7720000      0.3063174E-01  0.3551092      0.5420967      0.6782123       5.884201       1622.430       6.120114      0.8876346      0.8600000       430.0000      0.5472000       22875.41       36864.53       1998.000       2.000000    
B762   Boeing         B767-200ER              0           6   179169.0       136078.0       117934.0       82377.00       35557.00      0.6582277      0.4597726      0.1984551       283.3000       47.57000       5.030000      0.2236143E-01  0.8526402       7.987663       6.962666       1.012923      0.7186367      0.8713740      0.7607745E-01  0.5001442       5.891146       30.22717       4.940834       1.650000       504.4067       4.858700      0.4072667      0.7720000      0.2716125E-01  0.3676807      0.5375960      0.6834561       5.407506       1497.072       5.647240      0.8505684      0.8600000       430.0000      0.5472000       22875.41       36864.53       1984.000       2.000000    
B763   Boeing         B767-300                0           2   158758.0       136078.0       126299.0       86069.00       40230.00      0.7955441      0.5421396      0.2534046       283.3000       47.57000       5.030000      0.2236143E-01  0.8526402       7.987663       6.296852      0.9885672      0.7304507      0.8728041      0.7711910E-01  0.4696386       6.001520       30.22717       4.940834       1.650000       504.4067       4.858700      0.4072667      0.7720000      0.2403592E-01  0.3530000      0.5375960      0.6834561       5.537312       1518.653       5.728648      0.8566591      0.8600000       431.0006      0.5472000       22875.41       36864.53       1986.000       2.000000    
B764   Boeing         B767-400ER              0           1   204116.0       158757.0       149685.0       103147.0       46538.00      0.7333330      0.5053352      0.2279978       283.3000       51.92000       5.030000      0.1877140E-01  0.8526402       9.515306       7.202172       1.015951      0.7227145      0.8699961      0.7473005E-01  0.5438713       6.148190       30.55605       5.100000       1.650000       512.7958       4.861158      0.3997947      0.7720000      0.2784483E-01  0.3614142      0.5339750      0.6875840       5.831334       1629.387       6.146358      0.8898340      0.8600000       450.0000      0.5472000       22875.41       36864.53       1999.000       2.000000    
B77L   Boeing         B777-200LR              0           1   347450.0       223168.0       209107.0       145150.0       63957.00      0.6018333      0.4177580      0.1840754       427.8000       64.80000       6.200000      0.1830895E-01  0.8517269       9.815428       6.503715      0.9855441      0.7721372      0.8734925      0.7798871E-01  0.5194179       7.585117       40.98500       7.210000       1.650000       1006.500       9.010000      0.7500000      0.8106000      0.2389309E-01  0.3863983      0.4859725      0.7346454       5.820184       1666.701       6.287111      0.9019732      0.8900000       431.0006      0.5643000       24441.49       36319.05       2005.000       2.000000    
B772   Boeing         B777-200                0           6   286900.0       206350.0       195030.0       135600.0       59430.00      0.6797839      0.4726385      0.2071453       427.8000       60.93000       6.200000      0.2070861E-01  0.8517269       8.678039       6.461822      0.9875700      0.7673692      0.8737642      0.7839947E-01  0.4952538       6.781321       37.69964       7.018929       1.650000       781.2293       6.885786      0.5735000      0.8106000      0.2418052E-01  0.3670000      0.4903194      0.7309704       5.716124       1592.225       6.006176      0.8782873      0.8900000       431.0006      0.5643000       24441.49       36319.05       1994.000       2.000000    
B77W   Boeing         B777-300ER              0           1   351530.0       251290.0       237673.0       167820.0       69853.00      0.6761101      0.4773988      0.1987114       427.8000       64.80000       6.200000      0.1830895E-01  0.8517269       9.815428       7.159075      0.9978684      0.7665383      0.8720136      0.7637249E-01  0.5415664       7.183146       42.24000       7.080000       1.650000       1027.800       9.380000      0.7600000      0.8106000      0.2644940E-01  0.3887461      0.4889300      0.7321578       5.593169       1592.225       6.006176      0.8782873      0.8900000       431.0006      0.5643000       24441.49       36319.05       1994.000       2.000000    
B773   Boeing         B777-300                0           4   299370.0       237680.0       224530.0       159570.0       64960.00      0.7500083      0.5330194      0.2169890       427.8000       60.93000       6.200000      0.2070861E-01  0.8517269       8.678039       7.069411       1.002684      0.7595141      0.8721877      0.7671370E-01  0.5147176       6.864082       36.31445       6.276111       1.650000       744.7578       6.869444      0.5610000      0.8106000      0.2655739E-01  0.3939616      0.5072185      0.7155734       5.802647       1615.243       6.093002      0.8853815      0.8900000       431.0006      0.5643000       24441.49       36319.05       1997.000       2.000000    
