icao_code,iata_code,latitude,longitude,elevation_ft,airport_name,airport_type,iso_country,iso_region,municipality,scheduled_service
RPMA,AAV,6.367903,124.752431,659.0,Allah Valley Airport,medium_airport,PH,PH-SCO,Surallah,no
RPMB,xxx,6.106440067289999,125.23500061,28.0,Rajah Buayan Air Base,medium_airport,PH,PH-SCO,General Santos City,no
RPMC,CBO,7.165239810943604,124.20999908447266,189.0,Awang Airport,medium_airport,PH,PH-MAG,Cotabato City,yes
RPMD,DVO,7.12552,125.646004,96.0,Francisco Bangoy International Airport,large_airport,PH,PH-DAS,Davao,yes
RPME,BXU,8.9515,125.4788,141.0,Bancasi Airport,medium_airport,PH,PH-AGN,Butuan,yes
RPMF,BPH,8.195949554443361,126.3219985961914,12.0,Bislig Airport,medium_airport,PH,PH-SUR,xxx,no
RPMG,DPL,8.60198349877,123.34187507600001,12.0,Dipolog Airport,medium_airport,PH,PH-ZAN,Dipolog City,yes
RPMH,CGM,9.253894,124.709115,53.0,Camiguin Airport,medium_airport,PH,PH-CAM,Mambajao,yes
RPMI,IGN,8.13049,124.214996,1300.0,Maria Cristina Airport,small_airport,PH,PH-LAN,Iligan,no
RPMJ,JOL,6.0536699295043945,121.01100158691406,118.0,Jolo Airport,medium_airport,PH,PH-SLU,xxx,yes
RPML,xxx,8.41562,124.611,601.0,Cagayan De Oro Airport,small_airport,PH,PH-MSR,Cagayan de Oro,no
RPMM,MLP,7.617219924926758,124.05899810791016,27.0,Malabang Airport,small_airport,PH,PH-LAS,Malabang,no
RPMN,TWT,5.046991,119.74299599999999,15.0,Sanga Sanga Airport,medium_airport,PH,PH-TAW,xxx,yes
RPMO,OZC,8.178509712219237,123.84200286865234,75.0,Labo Airport,medium_airport,PH,PH-MSC,Ozamiz City,no
RPMP,PAG,7.830731447869999,123.461179733,5.0,Pagadian Airport,medium_airport,PH,PH-ZAS,Pagadian City,yes
RPMQ,MXI,6.949091,126.27368,156.0,Mati National Airport,medium_airport,PH,PH-DAO,Mati,no
RPMR,GES,6.058000087740001,125.096000671,505.0,General Santos International Airport,medium_airport,PH,PH-SCO,General Santos,yes
RPMS,SUG,9.755838325629998,125.480947495,20.0,Surigao Airport,medium_airport,PH,PH-SUN,Surigao City,yes
RPMU,CDY,7.013999938964844,118.49600219726562,0.0,Cagayan de Sulu Airport,small_airport,PH,PH-TAW,Mapun,no
